,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
119,eugenio suarez,6,159,575,87,156,22,2,49,103,70,189,3,2,.271
 ,phillip ervin,3,94,236,30,64,11,7,7,23,18,63,4,3,.271
 ,aledmys diaz,4,69,210,36,57,12,1,9,40,26,28,2,0,.271
122,yadier molina,16,113,419,45,113,24,0,10,57,23,58,6,0,.270
 ,starlin castro,10,162,636,68,172,31,4,22,86,28,111,2,2,.270
 ,jordy mercer,8,74,256,24,69,16,0,9,22,13,57,0,0,.270
 ,brandon lowe,2,82,296,42,80,17,2,17,51,25,113,5,0,.270
126,eduardo escobar,9,158,636,94,171,29,10,35,118,50,130,5,1,.269
 ,jose martinez,4,128,334,45,90,13,2,10,42,35,82,3,0,.269
 ,jesse winker,3,113,338,51,91,17,2,16,38,38,60,0,2,.269
 ,austin nola,1,79,238,37,64,12,1,10,31,23,63,1,0,.269
 ,ildemaro vargas,3,92,201,25,54,9,1,6,24,9,24,1,0,.269
 ,oscar mercado,1,115,438,70,118,25,3,15,54,28,84,15,4,.269
 ,willie calhoun,3,83,309,51,83,14,1,21,48,23,53,0,0,.269
133,pablo sandoval,12,108,272,42,73,23,0,14,41,18,67,1,0,.268
 ,nomar mazara,4,116,429,69,115,27,1,19,66,28,108,4,1,.268
135,yasiel puig,7,149,555,76,148,30,2,24,84,44,133,19,7,.267
 ,matt olson,4,127,483,73,129,26,0,36,91,51,138,0,0,.267
 ,clint frazier,3,69,225,31,60,14,0,12,38,16,70,1,2,.267
 ,yandy diaz,3,79,307,53,82,20,1,14,38,35,61,2,2,.267
 ,eloy jimenez,1,122,468,69,125,18,2,31,79,30,134,0,0,.267
140,alex gordon,13,150,556,77,148,31,1,13,76,51,100,5,3,.266
 ,a.j. pollock,8,86,308,49,82,15,1,15,47,23,74,5,1,.266
 ,victor caratini,3,95,244,31,65,11,0,11,34,29,59,1,0,.266
